Title,Ingredients,Instructions,Yield,Time,Notes,Author,Source URL
Tahini Rice Crispy Treats,"1. 3¼ cups (130 g) crispy brown or white rice cereal
2. ¼ cup (30 g) cacao nibs
3. 1 Tbsp. virgin coconut oil
4. ¾ cup (185 g) tahini
5. ¼ cup plus 1 Tbsp. (90 g) honey
6. ¾ tsp. kosher salt
7. ½ tsp. vanilla extract","1. Line an 8"" or 9"" square pan with parchment paper, leaving an overhang on two sides. Toss cereal and cacao nibs in a large bowl to combine.
2. Melt oil in a small saucepan over medium-low heat. Add tahini, honey, and salt and whisk until warmed through, smooth, and slightly thinner, 45–60 seconds. (Don’t be tempted to cook this longer—the tahini can start to crystallize, which will make it grainy.) Remove from heat and whisk in vanilla.
3. Pour tahini mixture over cereal mixture and stir to coat. Transfer to prepared pan and press down very firmly (seriously, give it your all!) with the bottom of a heavy glass or measuring cup to compact. Chill bars until firm, 30–40 minutes.
4. Lift out bars using parchment overhang and cut into 16 squares.
5. Bars can be made 1 week ahead. Cover and chill.",Makes 16,"Prep: Not specified
Cook: 45–60 seconds
Total: 30–40 minutes plus chilling time","Use whatever brand of crispy brown rice cereal you can find, avoiding the “puffed” varieties, which have a tendency to be more squishy than crunchy. You can even use regular Rice Krispies cereal instead of crispy brown rice cereal, but since Rice Krispies are smaller and less dense, your bars might be a little bit softer than intended, though still delicious. For the sturdiest bars, be sure to really compact them and keep them in the fridge so they stay firm.",Sarah Jampel,https://www.bonappetit.com/recipe/tahini-rice-crispy-treats?utm_campaign=likeshopme&client_service_id=31198&utm_social_type=owned&utm_brand=ba&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_source=instagram&utm_medium=social&client_service_name=bonappetitmag&supported_service_name=instagram_publishing
Tofu Crumbles With Rice and Avocado,"1. 1 14-oz. block firm or extra-firm tofu
2. ¼ cup extra-virgin olive oil
3. Kosher salt
4. 2 garlic cloves, smashed
5. 2 tsp. ground coriander
6. 1 tsp. ancho powder or sweet smoked paprika
7. 1 tsp. ground cumin
8. ½ tsp. ground fennel
9. 1 Tbsp. double-concentrated tomato paste
10. 2 tsp. hot sauce
11. Cooked white rice
12. Shredded red cabbage
13. Sliced avocado
14. Crumbled queso fresco (optional)
15. Cilantro
16. Lime wedges (for serving)","1. Firmly squeeze tofu to expel as much excess water as possible (don’t worry if it begins to crack or come apart). Tear into 1""–2"" pieces.
2. Heat oil in a large nonstick skillet over medium-high. Add tofu, season with salt, and cook, tossing occasionally, until golden brown and crisp around the edges, 5–7 minutes. Using a rubber spatula, break up tofu into ½""–1"" pieces. Add garlic and cook, tossing occasionally, until tofu pieces are crisp all over, about 3 minutes.
3. Reduce heat to medium. Add coriander, ancho powder, cumin, and fennel. Cook, stirring, just until spices deepen in color, about 20 seconds. Add tomato paste and cook, stirring with rubber spatula, until paste slightly darkens in color, about 1 minute. Add hot sauce and 1 cup water. Bring to a simmer and cook, uncovered and stirring occasionally, until sauce thickens, 5–7 minutes. Season with salt.
4. Divide rice among bowls. Top with tofu mixture, cabbage, avocado, queso fresco, and cilantro. Serve with lime wedges for squeezing over.",4 servings,Cook: 15-20 minutes,This recipe is vegan if you omit the queso fresco.,Chris Morocco,https://www.bonappetit.com/recipe/vegetarian-taco-bowls?_ga=2.1663922.288329750.1576608539-974887161.1571156264&_gac=1.263441278.1576608539.CjwKCAiAluLvBRASEiwAAbX3GeQ3lQxu7DCGR6UoBBrdB2pLbxMVPGSIlwTYWvN4pEuvCEKnHOVYwRoCi2wQAvD_BwE
,,,,,,,https://iheartumami.com/jiaozi-chinese-potstickers/
Pillowy Soft Cinnamon Rolls,"1. 3/4 cup warm milk
2. 2 1/4 teaspoons instant yeast
3. 1/4 cup granulated sugar
4. 1/4 cup honey
5. 4 cups all-purpose flour
6. 1 teaspoon salt
7. 1/2 cup unsalted butter, softened
8. 2 large eggs
9. 3/4 cup brown sugar
10. 2 teaspoons ground cinnamon
11. 1/4 cup unsalted butter, melted
12. 1 cup powdered sugar
13. 2-3 tablespoons milk or cream","1. 1. In a small bowl, combine warm milk and yeast. Let sit until foamy, about 5 minutes.
2. 2. In a large bowl, mix together sugar, honey, flour, and salt.
3. 3. Add softened butter, eggs, and yeast mixture to the flour mixture. Stir until a sticky dough forms.
4. 4. Knead the dough on a floured surface for about 10 minutes until smooth.
5. 5. Place the dough in a greased bowl, cover, and let rise for 2 hours or until doubled in size.
6. 6. Punch down the dough and roll it out into a rectangle.
7. 7. Spread melted butter over the dough and sprinkle with brown sugar and cinnamon.
8. 8. Roll the dough tightly into a log and cut into 10 rolls.
9. 9. Place rolls in a greased baking dish, cover, and let rise for 30 minutes.
10. 10. Preheat the oven to 350°F (175°C).
11. 11. Bake the rolls for 30 minutes or until golden brown.
12. 12. In a small bowl, whisk together powdered sugar and milk to make the icing.
13. 13. Drizzle icing over warm rolls and serve.",10 rolls,"Prep: 30 minutes
Cook: 30 minutes
Total: 4 hours 30 minutes","For extra gooey rolls, apply a thin layer of icing while rolls are warm.",Sarah Kieffer,http://www.thevanillabeanblog.com/2019/12/cinnamon-rolls.html
Vietnamese Canh Soup,"1. a splash of neutral oil
2. half a medium onion, thinly sliced
3. 5 to 6 cups water
4. 1/2 tsp salt
5. 1 Tbsp fish sauce
6. 8 ounces chopped greens (mustard greens, turnip greens, radish tops, kale, or mature spinach)
7. 1 1/2 teaspoons finely chopped ginger
8. 1 dozen peeled and deveined raw shrimp, cut into chunks","1. Warm a splash of neutral oil in a medium pot over medium heat.
2. Thinly slice half a medium onion and add it to the pot. Cook gently, stirring occasionally, until soft and no longer smells raw, about 3 to 4 minutes.
3. Pour in 5 to 6 cups of water. Season with 1/2 tsp salt and 1 Tbsp fish sauce.
4. Increase the heat to bring to a boil and cook vigorously for 3 to 5 minutes.
5. Add 8 ounces of chopped greens. Cook until the greens wilt and soften, about 5 minutes.
6. Add 1 1/2 teaspoons finely chopped ginger and 1 dozen peeled and deveined raw shrimp. Cook until the shrimp is opaque and cooked through.
7. Slide the pot to a cool burner and let it rest, uncovered, for 5 to 10 minutes to allow flavors to meld.
8. Taste and adjust seasoning with extra salt or fish sauce if needed. Splash in water if the soup is too strong.
9. Serve in individual soup bowls or a large bowl to share.",Serves 4,"Prep: 10 minutes
Cook: 20 minutes
Total: 30 minutes","['Instead of shrimp, you can substitute a 6-ounce fillet of mild fish, such as rockfish, sea bass, or tilapia, cut into bite-size pieces.', 'For a non-seafood option, add 5 to 6 ounces of ground pork or chicken after sautéing the onion.', 'To turn leftovers into a noodle soup, add glass noodles (soaked and snipped) when reheating.']",Andrea Nguyen,https://www.bonappetit.com/story/how-to-make-vietnamese-canh?utm_campaign=likeshopme&client_service_id=31198&utm_social_type=owned&utm_brand=ba&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_source=instagram&utm_medium=social&client_service_name=bonappetitmag&supported_service_name=instagram_publishing
,,,,,,,https://thewoodenskillet.com/healthy-baked-egg-cups/
Dairy-Free Cashew Queso,"1. 2 cups water (480 mL)
2. 2 medium garlic cloves
3. 1 ½ cups raw cashews (225 g)
4. 3 tablespoons nutritional yeast
5. 1 ¼ teaspoons ground cumin
6. ½ teaspoon chipotle powder
7. ½ teaspoon smoked paprika
8. 1 ½ teaspoons chili powder
9. 1 ¼ teaspoons kosher salt, plus more to taste
10. ½ cup canned diced tomatoes with green chiles (100 g)
11. tortilla chips, for serving","1. In a small saucepan, bring the water to a simmer over medium-high heat. Add the garlic cloves and blanch for 60 seconds. Remove the garlic, then remove the pot from the heat and reserve the hot water.
2. To the bowl of a food processor, add the cashews, blanched garlic cloves, nutritional yeast, cumin, chipotle powder, paprika, chili powder, and salt. Starting with 1¼ cups (300 g), add the reserved hot water. Blend on medium-high speed to combine.
3. If the mixture looks too thick and isn’t blending well, add another ¼ cup (60 ml) of hot water and continue blending. Add more hot water, 1-2 tablespoons at a time, as needed until the mixture is smooth, silky, and spreadable.
4. Transfer the queso to a serving bowl and fold in the diced tomatoes and green chiles.
5. Serve with tortilla chips. Enjoy!",3 cups,"Prep: 15 minutes
Cook: 5 minutes
Total: 20 minutes","This dairy-free cashew queso is creamy, flavorful, and perfect for any vegan or lactose intolerant individual.",Crystal Hatch & Karlee Rotoly,https://tasty.co/recipe/dairy-free-cashew-queso
,,,,,,,https://www.halfbakedharvest.com/chinese-mushroom-dumplings/#bo-recipe
,,,,,,,https://thewoodenskillet.com/chicken-broccoli-alfredo-bake/
Italian Chopped Salad,"1. 1 Tbsp. unsalted butter
2. 7 Tbsp. extra-virgin olive oil, divided
3. 1 14.5-oz. can chickpeas, rinsed
4. 2 small garlic cloves, divided
5. Kosher salt
6. 3 Tbsp. red wine vinegar
7. 1½ tsp. honey
8. 1 tsp. Dijon mustard
9. ½ tsp. crushed red pepper flakes
10. Freshly ground black pepper
11. 1 head of radicchio, thinly sliced
12. 2 endive, thinly sliced
13. 2½ oz. sharp provolone cheese, thinly sliced, torn
14. 2 oz. cured fennel salami, thinly sliced, cut into half-moons","1. Heat butter and 2 Tbsp. oil in a large nonstick skillet over medium-high until butter melts. Add chickpeas and 1 garlic clove; season with salt. Cook, tossing occasionally, until chickpeas are browned and crisp, 6–8 minutes.
2. Meanwhile, whisk vinegar, honey, mustard, red pepper flakes, and remaining 5 Tbsp. oil in a large bowl to combine. Finely chop half of remaining garlic clove (discard the rest unless you really, really like garlic) and add to dressing; season with salt and black pepper.
3. Add radicchio, endive, provolone, and salami to dressing and toss to coat; season with salt. Add chickpeas and toss again to combine.",4 servings,Cook: 6–8 minutes,"This winter salad with peak season chicories, salami, and crispy chickpeas is hearty enough to have on its own for dinner, but not so over-the-top that you can’t also enjoy it alongside a heftier main, like pizza or pasta.",Chris Morocco,https://www.bonappetit.com/recipe/italian-chopped-salad
Spicy Peel-and-Eat Skillet Shrimp with Garlic,"1. 1 pound unpeeled raw jumbo shrimp
2. 1/4 cup grapeseed oil, divided
3. 1 teaspoon fine sea salt, divided
4. 8 medium garlic cloves, sliced
5. 1 tablespoon crushed red pepper
6. 1 small lemon
7. 1/4 cup chopped fresh cilantro leaves and stems","1. Using small scissors, cut lengthwise down the back of each shrimp shell; remove and discard vein. (Do not remove shells.) Rinse shrimp with water, and pat dry. Stir together shrimp, 2 tablespoons oil, and 3/4 teaspoon salt in a bowl.
2. Preheat grill to medium-high (400°F to 450°F). Place a large cast-iron skillet on grill grates. Cover grill; let skillet preheat 5 minutes. Uncover grill; add remaining 2 tablespoons oil to skillet. Add shrimp; cook, uncovered, turning occasionally, until shrimp begin to turn pink, 2 to 3 minutes. Add garlic and crushed red pepper; cook, stirring occasionally, until garlic is golden, shrimp are cooked through, and shrimp shells are beginning to crisp, 3 to 4 minutes.
3. Remove skillet from grill; immediately transfer shrimp to a serving platter. Cut lemon in half; squeeze 1 lemon half over shrimp (discarding seeds). Sprinkle shrimp with cilantro and remaining 1/4 teaspoon salt. Cut remaining lemon half into wedges, and serve with shrimp.",4 to 6,Total: 35 mins,"Suggested Pairing: Bright, coastal California Chardonnay.",Aria Alpert Adjani,https://www.foodandwine.com/recipes/herbed-lemongrass-broth-shrimp?utm_source=instagram&utm_medium=social&utm_campaign=foodandwine_foodandwine&utm_term=curalate_like2buy
,,,,,,,https://www.halfbakedharvest.com/roasted-garlic-butter-chicken/#bo-recipe
Tomato-and-Pepper-Vodka Punch,"1. 4 celery stalks with the leaves
2. 5 pounds ripe tomatoes, cored and roughly chopped
3. 1/4 teaspoon minced garlic
4. 1 teaspoon salt or to taste
5. 4 tablespoons sugar
6. 2 tablespoons white-wine Worcestershire sauce
7. 1 750-ml. bottle pepper vodka
8. Garnish: 1 pint tiny cherry tomatoes (if tomatoes are large, cut them in half)","1. Remove the leaves from the celery. Chop the leaves coarsely, setting them aside, and cut the stalks into 1-inch pieces.
2. Put the tomatoes, celery stalks, garlic, salt, sugar, and white-wine Worcestershire sauce in a blender, and process until all the ingredients are liquefied.
3. Transfer to a saucepan, and bring to a simmer.
4. Line a sieve with a double layer of cheesecloth and strain the tomato liquid. Discard the vegetable solids and chill the reserved tomato water in a covered jug.
5. Set the pepper vodka in the freezer to chill.
6. Fill an ice-cube tray with some of the tomato water and place in the freezer. When the cubes begin to freeze around the edges but are still liquid in the middle, place a few of the chopped celery leaves in the center of each to garnish. Continue to freeze until solid.
7. Mix one part chilled pepper vodka and two parts tomato water in a punch bowl (proportions may be adjusted to taste).
8. Just before serving, add the ice cubes and cherry tomatoes and mix.
9. Vodka may be served on the side so guests can adjust the mixture, especially as the evening progresses and the melting ice dilutes the punch.",8 - 12 servings,,,Mixologist David Cunningham,http://nymag.com/listings/recipe/tomato-and-pepper-vodka/
Poulet à l'Estragon,"1. Salt
2. 15 golf ball-size tomatoes
3. 1 tablespoon (14g) butter
4. 2 tablespoons (30ml) olive oil
5. 2 (2- (0.9kg) to 3- pound (1.4kg)) farm-raised chickens, each cut into 8 pieces
6. Freshly ground white pepper
7. 4 large shallots, sliced
8. 10 ounces (283.5g) pearl onions
9. 2 tablespoons (32g) tomato paste
10. 3 tablespoons (24g) flour
11. 1/2 cup tarragon (120ml) vinegar
12. 2 cups (480ml) Chicken Stock
13. 1/2 bunch tarragon","1. Bring a large pot of salted water to a boil and set a bowl of ice water on the side. Score an X on the bottoms of the tomatoes. Boil them for 5 seconds, or until the skins loosen on the bottoms. Strain and peel under cold running water; set aside.
2. In a 5-quart (4.7L) braising pan over medium-high heat, melt the butter with the oil. Season the chicken on all sides with salt and pepper. Add the chicken to the pan skin side down and sear until golden brown on both sides, about 10 minutes total. Transfer the chicken to a platter, set aside, and strain all but 1 tablespoon (15ml) fat from the pan.
3. Reduce the heat to medium and add the shallots and onions to the pan. Cook, stirring, until the shallots are soft. Add the tomato paste and flour and cook, stirring, for another minute. Add the vinegar, bring to a simmer, then stir in the chicken stock. Bring to a simmer, making sure to scrape the bottom of the pan.
4. Return the chicken to the pan with half of the tomatoes and the tarragon. Cover and simmer for 10 minutes, stirring occasionally.
5. Add the remaining tomatoes, cover, and simmer for another 20 minutes, or until the chicken is cooked through.",Serves 6 to 8,,,Daniel Boulud,https://www.huffpost.com/entry/daniel-boulud-recipes_b_4057238
Fall-Apart Caramelized Cabbage,"1. ¼ cup double-concentrated tomato paste
2. 3 garlic cloves, finely grated
3. 1½ tsp. ground coriander
4. 1½ tsp. ground cumin
5. 1 tsp. crushed red pepper flakes
6. 1 medium head of green or savoy cabbage (about 2 lb. total)
7. ½ cup extra-virgin olive oil, divided
8. Kosher salt
9. 3 Tbsp. chopped dill, parsley, or cilantro
10. Full-fat Greek yogurt or sour cream (for serving)","1. Preheat oven to 350°. Mix tomato paste, garlic, coriander, cumin, and red pepper flakes in a small bowl.
2. Cut cabbage in half through core. Cut each half through core into 4 wedges.
3. Heat ¼ cup oil in a large cast-iron skillet over medium-high. Working in batches if needed, add cabbage to pan cut side down and season with salt. Cook, turning occasionally, until lightly charred, about 4 minutes per side. Transfer cabbage to a plate.
4. Pour remaining ¼ cup oil into skillet. Add spiced tomato paste and cook over medium heat, stirring frequently, until tomato paste begins to split and slightly darken, 2–3 minutes. Pour in enough water to come halfway up sides of pan (about 1½ cups), season with salt, and bring to a simmer. Nestle cabbage wedges back into skillet (they should have shrunk while browning; a bit of overlap is okay). Transfer cabbage to oven and bake, uncovered and turning wedges halfway through, until very tender, liquid is mostly evaporated, and cabbage is caramelized around the edges, 40–50 minutes.
5. Scatter dill over cabbage. Serve with yogurt alongside.",4 servings,Cook: 40–50 minutes,"If the spiced tomato paste has reduced and the pan starts getting dry and dark before the cabbage is ready, just add a splash of water to loosen and let it keep going.",Andy Baraghani,https://www.bonappetit.com/recipe/caramelized-cabbage?utm_campaign=likeshopme&client_service_id=31182&utm_social_type=owned&utm_brand=epi&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_source=instagram&utm_medium=social&client_service_name=healthyish&supported_service_name=instagram_publishing
Nori-and-Shrimp Fried Rice,"1. 3/4 teaspoon kosher salt, divided
2. 5 nori sheets (about 1/2 ounce)
3. 3 cups cooked long-grain white rice (such as basmati) or medium-grain white rice (such as Calrose)
4. 3 tablespoons canola oil or European-style unsalted butter (such as Plugrá), divided
5. 2 garlic cloves, finely chopped
6. 5 ounces peeled and deveined raw extra-large shrimp, patted dry with paper towels and cut into 1/2-inch pieces
7. 2 teaspoons fish sauce
8. 1 small scallion, sliced","1. Place 1/2 teaspoon salt in a blender. Tear or cut nori sheets into 1- to 2-inch pieces; add to blender. Process on medium-high speed until mixture resembles graphite-colored glitter, about 1 minute. Transfer to an airtight container.
2. If using hot, freshly cooked rice, spread in an even layer on a baking sheet lined with paper towels; let cool until rice is room temperature and grains are dry, about 30 minutes. If using chilled day-old rice, spread in an even layer on a baking sheet lined with paper towels; let come to room temperature. Gently rub rice back and forth between your hands to separate the grains. Place rice and remaining ingredients near stove so you can cook quickly.
3. Heat 2 tablespoons oil in a 12-inch carbon steel or nonstick skillet over medium. When oil is nearly shimmering, add garlic, and cook, stirring constantly, until garlic is toasted and fragrant, 10 to 15 seconds. Add shrimp, and stir to combine. Season with remaining 1/4 teaspoon salt. Cook, stirring constantly, until shrimp are nearly cooked through, 45 seconds to 1 minute.
4. Add 1 1/2 cups rice to skillet, and stir to combine. Increase heat to high. Cook, undisturbed, 20 seconds; stir. Repeat cooking-and-stirring process until a dry skin forms around some of the rice grains, 2 to 3 minutes. Transfer mixture to a medium bowl. Repeat procedure with remaining 1 tablespoon oil and remaining 1 1/2 cups rice. Return rice-shrimp mixture to skillet, and stir to combine. Drizzle with fish sauce, and cook, stirring constantly, 20 seconds. (This will ensure rice grains are well-seasoned.)
5. Remove from heat. Stir in sliced scallion, and let stand until scallion is just softened, 10 to 15 seconds. Stir in 1 tablespoon nori dust.",2,"Prep: 25 mins
Cook: 30 mins
Total: 55 mins",Nori dust may be stored in an airtight container at room temperature up to 3 months.,Andrea Nguyen,https://www.foodandwine.com/recipes/nori-and-shrimp-fried-rice?utm_source=instagram&utm_medium=social&utm_campaign=foodandwine_foodandwine&utm_term=curalate_like2buy
,,,,,,,https://thewoodenskillet.com/cauliflower-mushroom-risotto-vegan-whole30/
,,,,,,,https://thewoodenskillet.com/buffalo-chicken-meatballs/
Pan-Seared Lamb Steaks with Anchovy Butter,"1. 4 (6- to 8-ounce) boneless lamb sirloin steaks (3/4 inch to 1 inch thick)
2. 3/4 teaspoon kosher salt, plus more to taste
3. 1/2 teaspoon black pepper, plus more to taste
4. 6 to 8 oil-packed anchovy fillets, drained
5. 1 medium garlic clove, finely chopped
6. 1/4 cup unsalted butter, at room temperature
7. 3 tablespoons finely chopped fresh flat-leaf parsley, divided
8. 1/2 teaspoon lemon zest
9. 1/4 teaspoon pimentón or paprika
10. 1 tablespoon extra-virgin olive oil","1. Sprinkle steaks evenly with salt and pepper.
2. In a small bowl, mash anchovies and garlic with a fork until a paste forms.
3. Add butter, 2 tablespoons parsley, lemon zest, and pimentón; stir until well combined. Set aside.
4. Heat oil in a large skillet over medium-high heat.
5. Add steaks to skillet; cook until a crust forms, about 3 minutes per side.
6. Reduce heat to medium; cook, turning occasionally, until desired doneness (125°F to 130°F for medium-rare, 135°F to 140°F for medium), 3 to 5 minutes.
7. Transfer steaks to a plate; immediately smear with anchovy butter.
8. Let rest 3 to 5 minutes before serving.
9. Garnish with remaining parsley.",4 servings,"Prep: 25 mins
Cook: 5 mins
Total: 30 mins",Lamb steaks are best cooked to medium-rare or medium.,Molly Stevens,https://www.foodandwine.com/recipes/pan-seared-lamb-steaks-anchovy-butter?utm_source=instagram&utm_medium=social&utm_campaign=foodandwine_foodandwine&utm_term=curalate_like2buy
Peanut Butter Keto Mousse,"1. Heavy Whipping Cream
2. Room Temp. Cream Cheese
3. No Sugar Peanut Butter
4. Confectioners Swerve
5. PURE Vanilla Extract
6. Salt","1. In a medium-sized bowl, beat the heavy whipping cream with a hand mixer until stiff peaks form and set aside.
2. In a large bowl, add the rest of the ingredients, and beat these ingredients with a hand mixer until they combine.
3. Once combined, add the whipped cream into your peanut butter mixture, and beat until well incorporated and smooth.
4. Portion out the Keto Peanut Butter Mousse in 4 parfait cups, and keep refrigerated.",4 servings,"Prep: 15 minutes
Total: 15 minutes",You can add a keto friendly chocolate drizzle to enhance the flavor.,Joe Duff,https://www.thedietchefs.com/peanut-butter-keto-mousse/
Mole-Spiced Ribs With Orange and Pickled Onion,"1. 5 whole star anise
2. 1 Tbsp. coriander seeds
3. 1 Tbsp. cumin seeds
4. 1 Tbsp. mustard seeds
5. 1½ tsp. whole cloves
6. 4 dried chiles de árbol or 2 tsp. crushed red pepper flakes
7. 2 guajillo chiles, seeds removed
8. 3 Tbsp. toasted sesame seeds, divided
9. ¼ cup ground sumac
10. 4 tsp. unsweetened cocoa powder
11. 1¼ tsp. ground cinnamon
12. 1 tsp. ground allspice
13. 1 tsp. ground coffee
14. 2 2½-lb. racks St. Louis–style pork spareribs
15. Kosher salt
16. ½ medium red onion, thinly sliced
17. ⅓ cup red wine vinegar
18. 2 tsp. sugar
19. 12 oz. kombucha (about 1½ cups)
20. 4 garlic cloves, thinly sliced
21. 1 medium white onion, cut into 2"" pieces
22. 2 medium oranges, cut into 2"" pieces (peel and all), divided
23. Cilantro sprigs (for serving)","1. Toast star anise, coriander seeds, cumin seeds, mustard seeds, and cloves in a dry small skillet over medium heat, tossing occasionally, until very fragrant and just beginning to darken, about 5 minutes. Transfer to a plate; let cool. Finely grind in spice mill or with mortar and pestle; transfer to a bowl. Finely grind chiles de árbol, guajillo chiles, and half of sesame seeds. Add to ground spices along with sumac, cocoa powder, cinnamon, allspice, coffee, and remaining sesame seeds; mix well.
2. Mole powder can be made 2 weeks ahead. Store airtight at room temperature.
3. Season ribs all over with salt (we recommend 1¼ tsp. Diamond Crystal or ¾ tsp. Morton kosher salt per lb.) and sprinkle with ½ cup mole powder, pressing to adhere. Arrange on a rimmed baking sheet and let chill, uncovered, overnight.
4. Place racks in upper and lower thirds of oven; preheat to 300°. Mix red onion, vinegar, sugar, and a few pinches of salt in a medium bowl; set aside.
5. Transfer ribs to a deep roasting pan and pour in kombucha. Scatter garlic over and arrange white onion and half of orange pieces around ribs. Cover pan tightly with foil; bake on lower rack until tender but not falling apart, 2½–3 hours.
6. Remove ribs from oven. Heat broiler. Uncover ribs and broil on upper rack, turning once, until crisp, about 5 minutes.
7. Transfer ribs to a platter. Skim fat from liquid in pan and discard; drizzle liquid over ribs. Top with drained pickled red onion, cilantro, and remaining orange.",8 servings,"Prep: Overnight chilling
Cook: 2½–3 hours
Total: Overnight chilling + 2½–3 hours cooking","Sumac can be found at Middle Eastern markets, specialty foods stores, and online.",Carla Perez-Gallardo and Hannah Black,https://www.bonappetit.com/recipe/mole-spiced-ribs-with-orange-and-pickled-onion?utm_campaign=likeshopme&client_service_id=31198&utm_social_type=owned&utm_brand=ba&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_source=instagram&utm_medium=social&client_service_name=bonappetitmag&supported_service_name=instagram_publishing
,,,,,,,https://www.galatoires.com/about/recipes
,,,,,,,https://www.halfbakedharvest.com/one-skillet-greek-meatballs-and-lemon-butter-orzo/#bo-recipe
Rosy Harissa Chicken,"1. 3/4 cup kefir or plain whole-milk Greek yogurt
2. 1/4 cup fresh lemon juice
3. 3 tablespoons plus 2 teaspoons harissa paste (such as New York Shuk), divided
4. 1 tablespoon plus 1 teaspoon kosher salt, divided
5. 1 tablespoon fresh thyme leaves plus 4 thyme sprigs, divided
6. 2 teaspoons grated garlic
7. 1 tablespoon black pepper, divided
8. 4 (10-ounce) chicken leg quarters
9. 2 large shallots, halved
10. 1 garlic head, halved crosswise
11. 1 small lemon, halved
12. 1/4 cup water
13. 1 tablespoon rose-harissa spice blend (such as New York Shuk) or paprika
14. 2 tablespoons dried edible rose petals or rose buds (optional)","1. Whisk together kefir, lemon juice, 3 tablespoons harissa paste, 1 tablespoon salt, thyme leaves, grated garlic, and 2 teaspoons pepper. Place chicken quarters in a large ziplock plastic bag. Pour kefir mixture over chicken, and seal bag. Refrigerate at least 8 hours or up to 24 hours, turning bag occasionally.
2. Preheat oven to 375°F with oven rack in upper third of oven. Let chicken stand at room temperature 30 minutes. Scatter shallots, garlic, and lemon halves, cut sides down, in a heavy-duty roasting pan or 13- x 9-inch baking dish. Add thyme sprigs. Remove chicken from marinade, allowing excess marinade to drip off. Discard marinade. Sprinkle chicken with remaining 1 teaspoon salt and remaining 1 teaspoon pepper; arrange chicken, skin sides up, in a single layer in roasting pan. Add 1/4 cup water to pan.
3. Roast chicken in preheated oven until a meat thermometer inserted in thickest portion registers 140°F, 30 to 35 minutes. Turn broiler to high. Baste chicken with pan juices, and sprinkle chicken with rose-harissa spice blend. Broil, basting chicken with pan juices every 2 to 3 minutes, until thermometer registers 165°F, 8 to 10 minutes.
4. Transfer chicken to a channeled cutting board; let rest 10 minutes. Meanwhile, squeeze 1 roasted lemon half and 6 roasted garlic cloves into pan juices; reserve remaining lemon half for serving and remaining garlic cloves for another use. Mash shallots and garlic with pan juices.",4,"Prep: 30 mins
Cook: 1 hr 25 mins
Total: 1 hr 55 mins",Serve with crusty bread or Israeli couscous to sop up the sauce.,Susan Spungen,https://www.foodandwine.com/recipes/rosy-harissa-chicken?utm_source=instagram&utm_medium=social&utm_campaign=foodandwine_foodandwine&utm_term=curalate_like2buy
Shrimp Wedge Salad with Old Bay Breadcrumbs and Hot Sauce Dressing,"1. 1 tablespoon vegetable oil
2. 20 peeled and deveined raw large shrimp (about 1 pound)
3. 1/2 teaspoon kosher salt
4. 1/8 teaspoon black pepper
5. 1 1/4 cups fresh breadcrumbs (about 3 3/8 ounces)
6. 1/2 teaspoon Old Bay seasoning
7. 1/2 cup mayonnaise
8. 2 tablespoons whole milk
9. 4 teaspoons hot sauce (such as Crystal)
10. 1 (20-ounce) head iceberg lettuce, cut into 4 wedges
11. Capers, for garnish","1. Heat oil in a 12-inch nonstick skillet over medium-high. Add shrimp; cook until pink and cooked through, 1 to 2 minutes per side. Sprinkle with salt and pepper. Remove from skillet; set aside.
2. Add breadcrumbs and Old Bay seasoning to skillet; cook over medium, stirring occasionally, until golden brown, about 4 minutes. Remove from heat; set aside.
3. Whisk together mayonnaise, milk, and hot sauce in a small bowl until smooth.
4. Arrange lettuce wedges on a platter. Top with shrimp, dressing, and breadcrumbs. Garnish with capers.",4,Total: 20 mins,"Prepare recipe through step 3 up to 2 days ahead. Store lettuce wedges, shrimp, and dressing in separate containers in refrigerator. Store breadcrumbs in a sealed container at room temperature. Assemble just before serving.",Kelsey Jane Youngman,https://www.foodandwine.com/recipes/shrimp-wedge-salad-old-bay-breadcrumbs-and-hot-sauce-dressing?utm_source=instagram&utm_medium=social&utm_campaign=foodandwine_foodandwine&utm_term=curalate_like2buy
